concert_id,lq_name,reference_count,steps,start_timestep,cfg_scale,seed,inference_seconds,output_path
1,gt-1.jpg,4,4,999,1.0,2025,0.4990,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_1/gt-1_refldm_ddim_img2img_4step_cfg1.0.jpg
1,gt-1.jpg,4,8,999,1.0,2025,0.4896,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_1/gt-1_refldm_ddim_img2img_8step_cfg1.0.jpg
1,gt-2.jpg,4,4,999,1.0,2026,0.3965,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_1/gt-2_refldm_ddim_img2img_4step_cfg1.0.jpg
1,gt-2.jpg,4,8,999,1.0,2026,0.5620,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_1/gt-2_refldm_ddim_img2img_8step_cfg1.0.jpg
2,gt-1.jpg,7,4,999,1.0,2027,0.5796,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_2/gt-1_refldm_ddim_img2img_4step_cfg1.0.jpg
2,gt-1.jpg,7,8,999,1.0,2027,0.6473,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_2/gt-1_refldm_ddim_img2img_8step_cfg1.0.jpg
2,gt-2.jpg,7,4,999,1.0,2028,0.6312,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_2/gt-2_refldm_ddim_img2img_4step_cfg1.0.jpg
2,gt-2.jpg,7,8,999,1.0,2028,0.5365,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_2/gt-2_refldm_ddim_img2img_8step_cfg1.0.jpg
2,gt-3.jpg,7,4,999,1.0,2029,0.6302,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_2/gt-3_refldm_ddim_img2img_4step_cfg1.0.jpg
2,gt-3.jpg,7,8,999,1.0,2029,0.7432,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_2/gt-3_refldm_ddim_img2img_8step_cfg1.0.jpg
3,gt-1.jpg,3,4,999,1.0,2030,0.3957,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-1_refldm_ddim_img2img_4step_cfg1.0.jpg
3,gt-1.jpg,3,8,999,1.0,2030,0.3704,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-1_refldm_ddim_img2img_8step_cfg1.0.jpg
3,gt-2.jpg,3,4,999,1.0,2031,0.4611,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-2_refldm_ddim_img2img_4step_cfg1.0.jpg
3,gt-2.jpg,3,8,999,1.0,2031,0.4184,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-2_refldm_ddim_img2img_8step_cfg1.0.jpg
3,gt-3.jpg,3,4,999,1.0,2032,0.2956,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-3_refldm_ddim_img2img_4step_cfg1.0.jpg
3,gt-3.jpg,3,8,999,1.0,2032,0.4197,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-3_refldm_ddim_img2img_8step_cfg1.0.jpg
3,gt-4.jpg,3,4,999,1.0,2033,0.3582,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-4_refldm_ddim_img2img_4step_cfg1.0.jpg
3,gt-4.jpg,3,8,999,1.0,2033,0.4195,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-4_refldm_ddim_img2img_8step_cfg1.0.jpg
3,gt-5.jpg,3,4,999,1.0,2034,0.3363,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-5_refldm_ddim_img2img_4step_cfg1.0.jpg
3,gt-5.jpg,3,8,999,1.0,2034,0.3850,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_3/gt-5_refldm_ddim_img2img_8step_cfg1.0.jpg
4,gt-1.jpg,4,4,999,1.0,2035,0.3554,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_4/gt-1_refldm_ddim_img2img_4step_cfg1.0.jpg
4,gt-1.jpg,4,8,999,1.0,2035,0.3990,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_4/gt-1_refldm_ddim_img2img_8step_cfg1.0.jpg
4,gt-2.jpg,4,4,999,1.0,2036,0.3670,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_4/gt-2_refldm_ddim_img2img_4step_cfg1.0.jpg
4,gt-2.jpg,4,8,999,1.0,2036,0.4367,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_4/gt-2_refldm_ddim_img2img_8step_cfg1.0.jpg
4,gt-3.jpg,4,4,999,1.0,2037,0.3670,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_4/gt-3_refldm_ddim_img2img_4step_cfg1.0.jpg
4,gt-3.jpg,4,8,999,1.0,2037,0.4284,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_4/gt-3_refldm_ddim_img2img_8step_cfg1.0.jpg
4,gt-4.jpg,4,4,999,1.0,2038,0.3641,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_4/gt-4_refldm_ddim_img2img_4step_cfg1.0.jpg
4,gt-4.jpg,4,8,999,1.0,2038,0.4615,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_4/gt-4_refldm_ddim_img2img_8step_cfg1.0.jpg
5,gt-1.jpg,3,4,999,1.0,2039,0.3759,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-1_refldm_ddim_img2img_4step_cfg1.0.jpg
5,gt-1.jpg,3,8,999,1.0,2039,0.5030,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-1_refldm_ddim_img2img_8step_cfg1.0.jpg
5,gt-2.jpg,3,4,999,1.0,2040,0.4710,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-2_refldm_ddim_img2img_4step_cfg1.0.jpg
5,gt-2.jpg,3,8,999,1.0,2040,0.4186,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-2_refldm_ddim_img2img_8step_cfg1.0.jpg
5,gt-3.jpg,3,4,999,1.0,2041,0.4407,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-3_refldm_ddim_img2img_4step_cfg1.0.jpg
5,gt-3.jpg,3,8,999,1.0,2041,0.5901,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-3_refldm_ddim_img2img_8step_cfg1.0.jpg
5,gt-4.jpg,3,4,999,1.0,2042,0.3871,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-4_refldm_ddim_img2img_4step_cfg1.0.jpg
5,gt-4.jpg,3,8,999,1.0,2042,0.4597,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-4_refldm_ddim_img2img_8step_cfg1.0.jpg
5,gt-5.jpg,3,4,999,1.0,2043,0.4395,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-5_refldm_ddim_img2img_4step_cfg1.0.jpg
5,gt-5.jpg,3,8,999,1.0,2043,0.5550,/mnt/local/home/hbxu/ref-ldm-main/results_improvement6_multistep/refldm_ddim4_8_concert1-6_20260604_133432/concert_5/gt-5_refldm_ddim_img2img_8step_cfg1.0.jpg
